郵便番号,住所,氏,名
356-0011,埼玉県ふじみ野市福岡1－1－1　ふじみ野市役所第3庁舎1階,社会福祉法人,ふじみ野市社会福祉協議会
356-0058,埼玉県ふじみ野市大井中央1-1-1　大井総合支所1階,社会福祉法人,ふじみ野市社会福祉協議会
356-0058,埼玉県ふじみ野市大井中央2-2-1 大井総合福祉センター 3階,社会福祉法人,和福祉会
356-0004,埼玉県ふじみ野市上福岡4丁目6-11 イシデンビル1階3号室,特定非営利活動法人,上福岡障害者支援センター21
356-0054,埼玉県ふじみ野市大井武蔵野1282-7,社会福祉法人,むさし野たんぽぽ会
354-0021,埼玉県富士見市大字鶴馬1932-7 市民福祉活動センター「ぱれっと」内,社会福祉法人,富士見市社会福祉協議会
354-0026,埼玉県富士見市鶴瀬西2-4-19,社会福祉法人,富士見市社会福祉協議会
354-0024,埼玉県富士見市鶴瀬東1-9-26　カムトゥルーイースト,社会福祉法人,入間東部福祉会
354-0041,埼玉県入間郡三芳町藤久保1100-1 三芳町役場1階,社会福祉法人,三芳町社会福祉協議会
354-0041,埼玉県入間郡三芳町藤久保27-9,社会福祉法人,三芳町社会福祉協議会
354-0044,埼玉県入間郡三芳町北永井381-3,社会福祉法人,めぐみ会
350-0031,埼玉県川越市小仙波町2-50-2 川越市総合福祉センター「オアシス」内,社会福祉法人,川越市社会福祉協議会
350-1123,埼玉県川越市脇田本町8-1　U_PLACE3階,社会福祉法人,親愛会
350-0813,埼玉県川越市平塚新田高田町162番地,社会福祉法人,けやきの郷
350-0034,埼玉県川越市仙波町2-16-32,特定非営利活動法人,サポートあおい
353-0001,埼玉県志木市上宗岡1丁目5番1号（志木市総合福祉センター内）,社会福祉法人,志木市社会福祉協議会
353-0002,埼玉県志木市中宗岡1-1-1 志木市役所１階　共生社会推進課内,社会福祉法人邑元会,
353-0004,埼玉県志木市本町5丁目23番11号プラザTORIYAMA5階,特定非営利活動法人,志木市精神保健福祉をすすめる会
353-0001,埼玉県志木市上宗岡2-8-12,特定非営利活動法人,輝HIKARI
353-0002,埼玉県志木市中宗岡1丁目3番25号,社会福祉法人,邑元会
353-0004,埼玉県志木市本町5丁目24-21 SHIKISM 地下１階,合同会社,移行の窓口